id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.factory.native-cli,capability,,,,[],A developer or Agent needs a stable way to inspect and operate Factory.,"factory capabilities declares public contracts; build snapshot/refresh, bounded developmental reads, atomic Commission creation/read, closed workflow/Activity/Return/Recognition mutation, run development-ledger observation, Action invocation, and verify operate or validate native providers.","Native snapshots, Commission receipts/reads, closed mutation receipts and existing developmental readings remain usable from shell and machine clients without transferring Factory write ownership.","source-inspected; full Factory workspace tests, strict Clippy, formatting and native Draft 2020-12 Commission validation executed green 2026-09-09. The checked-in self-hosting state is native-CLI generated with ready/planned units and empty Agency/Execution; owner-world execution and desktop acceptance are not established.",agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/181.json;../github-recovery-mirror/mirror/agent-system-design/issues/181.comments.json,factory/src/cli.rs;factory/src/developmental_read.rs;factory/src/commission.rs,factory/src/commission.rs;scripts/validate_self_hosting_commission.py;contracts/factory/commission-request.schema.json;contracts/factory/commission.schema.json;contracts/factory/developmental-mutation.schema.json;contracts/factory/fixtures/oi-self-hosting-state.json,factory.html#q1/product,,,"{""basis"": ""Factory #201 self-hosting Commission is Factory-owned; Central composition evidence remains exact and membership-non-authoritative, and no execution is inferred."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [""build.snapshot"", ""build.refresh"", ""action.list"", ""action.invoke"", ""verify"", ""development.project"", ""development.journey"", ""development.run"", ""development.workflow-units"", ""development.workflow-unit"", ""development.execution-telemetry"", ""development.action"", ""development.observe"", ""development.observations"", ""development.commission"", ""development.commission-read"", ""development.mutate""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The native factory executable declares and handles these command families.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/181.json"", ""reconcile:factory-pr-194"", ""https://github.com/EpiLogos/agent-system-design/pull/202"", ""https://github.com/EpiLogos/agent-system-design/issues/199"", ""https://github.com/EpiLogos/Workcell/pull/64"", ""wiki-continuity:CASE-07-08-development-observation-surface"", ""https://github.com/EpiLogos/agent-system-design/issues/200"", ""https://github.com/EpiLogos/agent-system-design/issues/201""], ""code_basis"": {""factory/src/cli.rs"": ""ea9f9951b8ba7b05678ffe7d07b00cb233ffec293827f218a4af18f5d0dc45e4"", ""factory/src/developmental_read.rs"": ""408d946ffca86e1fbdd3fdd8d1fc04c09ea1cb07e7092fd882d4eaa4c46b6ec8"", ""scripts/validate_factory_interop.py"": ""d0efce769e0560ad2c0f0bfd072049b1b73bb999dd686f4b3c43bbb90b6a6d38"", ""factory/src/commission.rs"": ""72d8aaa658fcb77fa066719a95da83bff7945a336f14c05555ece222147ca54f"", ""scripts/validate_self_hosting_commission.py"": ""45c25f87500a1da1dcb6d389aaf784abd0c5b7797d90e0d247ccf5b9d489da0f""}}, ""last_reconciled_at"": ""2026-09-09T12:50:22.902293+00:00""}",
cap.factory.build-reading,capability,,,,[],A person needs the selected Project and Run’s current developmental state.,"FactoryBuildFileProvider and FactoryDevelopmentalFileProvider validate canonical Project/Journey/Run/WorkflowUnit relations and publish bounded reads, including an exact Commission relation over Factory-minted identity and retained non-authoritative Central provenance.","A Commission and its later owner-native workflow, Activity, Return or Recognition correlations survive reopen with atomic replay/conflict and tamper validation; no execution or external authority is inferred.","source-inspected; full Factory workspace tests, strict Clippy, formatting and real native-binary Commission/schema validation executed green 2026-09-09. The specimen proves persisted Factory state and truthful unfinished work, not owner-world execution.",agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/143.json;../github-recovery-mirror/mirror/agent-system-design/issues/143.comments.json,factory/src/build_provider.rs;factory/src/developmental_read.rs;factory/src/commission.rs,factory/src/commission.rs;scripts/validate_self_hosting_commission.py;contracts/factory/commission.schema.json;contracts/factory/developmental-mutation.schema.json;contracts/factory/fixtures/oi-self-hosting-state.json,factory.html#q1/product,,,"{""basis"": ""Factory #201 self-hosting Commission is Factory-owned; Central composition evidence remains exact and membership-non-authoritative, and no execution is inferred."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [""build.snapshot"", ""build.refresh"", ""action.list"", ""development.project"", ""development.journey"", ""development.run"", ""development.workflow-units"", ""development.workflow-unit"", ""development.execution-telemetry""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native commands return bounded owner readings over persisted source-backed state.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/143.json"", ""reconcile:factory-pr-194"", ""https://github.com/EpiLogos/agent-system-design/pull/202"", ""https://github.com/EpiLogos/agent-system-design/issues/199"", ""https://github.com/EpiLogos/Workcell/pull/64"", ""https://github.com/EpiLogos/agent-system-design/issues/200"", ""https://github.com/EpiLogos/agent-system-design/issues/201""], ""code_basis"": {""factory/src/build_provider.rs"": ""527ce717e1f48a394385ddd9cd489b8b5b5c318c621162492df8ce72da83eab5"", ""factory/src/developmental_read.rs"": ""408d946ffca86e1fbdd3fdd8d1fc04c09ea1cb07e7092fd882d4eaa4c46b6ec8"", ""scripts/validate_factory_interop.py"": ""d0efce769e0560ad2c0f0bfd072049b1b73bb999dd686f4b3c43bbb90b6a6d38"", ""factory/src/commission.rs"": ""72d8aaa658fcb77fa066719a95da83bff7945a336f14c05555ece222147ca54f"", ""scripts/validate_self_hosting_commission.py"": ""45c25f87500a1da1dcb6d389aaf784abd0c5b7797d90e0d247ccf5b9d489da0f""}}, ""last_reconciled_at"": ""2026-09-09T12:50:22.902293+00:00""}",
cap.factory.journey-continuity,capability,,,,[],A continuing outcome needs to outlive one bounded Run or session.,"Journey records participants, linked Runs, frontier, Activity, Return and Recognition; accepted AIKit evidence can continue it, while a versioned Factory Commission can atomically create or append its first bounded Run under Factory ownership.",One continuing identity preserves exact Central membership provenance as non-authoritative evidence and later owner-native correlations without converting any of them into Actuation or execution authority.,"source-inspected; full Factory workspace and real native-binary Commission tests executed green 2026-09-09 across create/reopen, concurrent duplicate, replay conflict, foreign refs, late-failure rollback and persisted-effect tamper detection. Owner-world execution remains external.",agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/168.json;../github-recovery-mirror/mirror/agent-system-design/issues/168.comments.json;contracts/factory/routine-continuation-source-lock.json;contracts/factory/upstream/aikit.routine-invocation-evidence.v1.schema.json,factory/src/journey.rs;factory/src/routine_continuation.rs;factory/src/developmental_read.rs;factory/src/conformance.rs;factory/src/commission.rs,factory/tests/routine_continuation.rs;factory/tests/developmental_conformance.rs;factory/src/commission.rs;scripts/validate_self_hosting_commission.py,factory.html#q1/continuity,,,"{""basis"": ""Factory #201 self-hosting Commission is Factory-owned; Central composition evidence remains exact and membership-non-authoritative, and no execution is inferred."", ""cli_commands"": [""development.admit-routine-continuation"", ""development.routine-continuation"", ""conformance.developmental-state""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The native Factory executable admits and explains the relation and generates validated conformance provider state.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""../github-recovery-mirror/mirror/agent-system-design/issues/168.json"", ""https://github.com/EpiLogos/agent-system-design/issues/200"", ""https://github.com/EpiLogos/ai-kit/pull/251"", ""https://github.com/EpiLogos/agent-system-design/issues/201""], ""code_basis"": {""factory/src/journey.rs"": ""e91d5e20d9cf61fa47466c2122fd5d1f2a7c2eb7bff70e4e65a2968c55d248c2"", ""factory/src/routine_continuation.rs"": ""ff14fa4c1bb0c4b094891fb46236a341bb2a907cb479d1a253f21d4bda33355f"", ""factory/src/developmental_read.rs"": ""408d946ffca86e1fbdd3fdd8d1fc04c09ea1cb07e7092fd882d4eaa4c46b6ec8"", ""factory/src/conformance.rs"": ""483b758ac3b830e235e756386bca53ab6fe23787f35829947618874384552556"", ""factory/src/commission.rs"": ""72d8aaa658fcb77fa066719a95da83bff7945a336f14c05555ece222147ca54f"", ""scripts/validate_self_hosting_commission.py"": ""45c25f87500a1da1dcb6d389aaf784abd0c5b7797d90e0d247ccf5b9d489da0f""}}, ""last_reconciled_at"": ""2026-09-09T12:48:09.132196+00:00""}",
cap.factory.run-map,capability,,,,[],A developer needs an inspectable transformation whose identity survives execution changes.,Factory compiles source-owned workflow units into the canonical RunMap and coordinates admissible serial/fork execution through Run mutation authority and Execution Intelligence dispositions.,"Stable unit identity survives runtime-carrier changes; atomic fork admission, one-writer law, complete barriers, distinct interruption states, retained retry history, evidence-bearing synthesis and independent-review lineage fail closed.",source-inspected; Factory all-target suite (155 tests including 15 adversarial orchestration tests) and strict Clippy executed green 2026-09-08. External provider/process/Workcell execution and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/4.json;../github-recovery-mirror/mirror/agent-system-design/issues/4.comments.json,factory/src/core/run/model.rs;factory/src/core/run/topology.rs;factory/src/workflow.rs;factory/src/orchestration.rs,factory/tests/run_map.rs;factory/tests/workflow.rs;factory/tests/orchestration.rs;contracts/factory/agent-workflow-source.schema.json;contracts/factory/fixtures/agent-workflow-source.json,factory.html#q1/continuity,,,"{""basis"": ""Source-recovered capability account reconciled against implemented #197 compilation and #198 executable orchestration semantics."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Workflow compilation and orchestration are native domain contracts; public Run and WorkflowUnit readings expose the resulting topology and source relations.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/4.json"", ""reconcile:factory-pr-194"", ""https://github.com/EpiLogos/agent-system-design/issues/197"", ""https://github.com/EpiLogos/agent-system-design/issues/198""], ""code_basis"": {""factory/src/core/run/model.rs"": ""a1f4606fbfa0ef4c253ef5580e18a54dcdecf17f203eb47b6a9550a27d64ba1c"", ""factory/src/core/run/topology.rs"": ""930b4d55ebabba4f447ba6225d19d4b3f6a755a99bfc83baedef43f347452c82"", ""factory/src/workflow.rs"": ""7217067b307e062e56d0c45bbfa5d0a5746b7d66ecd868cd7eb7555db0d0db80"", ""factory/src/orchestration.rs"": ""df4f8e7eda334893af0b7cbd2fc4d2e005df5fa590d3dcbb52e93ffd43671866""}}, ""last_reconciled_at"": ""2026-09-08T21:53:25.671989+00:00""}",
cap.factory.build-evidence,capability,,,,[],A reviewer needs the reasons bearing upon a proposed result.,"FactoryBuildState projects Candidate, Claim, Evidence and HumanRequest relations.",The Build consumer can follow native epistemic subjects without substituting trace detail.,source-inspected; Native source and test definitions inspected 2026-09-06. Tests were not executed in this documentation pass; owner-world and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/143.json;../github-recovery-mirror/mirror/agent-system-design/issues/143.comments.json,factory/src/build.rs,factory/tests/build_live.rs,factory.html#q1/epistemics,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""Build snapshots may contain native evidence subjects, but the CLI declares no evidence-specific command.""}, ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/143.json"", ""reconcile:factory-pr-194"", ""https://github.com/EpiLogos/agent-system-design/issues/200""], ""code_basis"": {""factory/src/build.rs"": ""5aa0b1b3564283d9dee2bc5a61b161a596bbfc55af551293eb0292ed9cf5f119""}}, ""last_reconciled_at"": ""2026-09-09T11:53:49.067727+00:00""}",
cap.factory.structural-ground,capability,,,,[],A target with authored relational identity needs development faithful to that ground.,"StructuralGround validates source-owned identities, relations and provider evidence.",Missing or stale structure can be disclosed before feature-local decomposition replaces its source.,source-inspected; Native source and test definitions inspected 2026-09-06. Tests were not executed in this documentation pass; owner-world and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/156.json;../github-recovery-mirror/mirror/agent-system-design/issues/156.comments.json,factory/src/structural_ground.rs,factory/tests/source_ground.rs;factory/tests/epi_holographic_structural_ground.rs,factory.html#q0/ground,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Structural-ground validation has native code but no declared CLI command.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/156.json"", ""reconcile:factory-pr-194""], ""code_basis"": {""factory/src/structural_ground.rs"": ""37ff1583b95e7fdbe42c9c35c8692422bb762a4e4a012d9191d6f6f27e4fb060""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.186089+00:00""}",
cap.factory.journey-commission,capability,,,,[],A person needs a named collaborator to carry a continuing developmental responsibility.,"JourneyCommissionState records accountable subjects, state, handoffs and Recognition attention.",The continuing responsibility stays readable apart from session lifecycle and invocation authority.,source-inspected; Native source and test definitions inspected 2026-09-06. Tests were not executed in this documentation pass; owner-world and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/176.json;../github-recovery-mirror/mirror/agent-system-design/issues/176.comments.json,factory/src/journey_commission.rs,factory/src/journey_commission.rs,factory.html#q2/commission,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Journey commission has native code but no declared CLI command.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/176.json"", ""EpiLogos/agent-system-design#188"", ""reconcile:factory-pr-194""], ""code_basis"": {""factory/src/journey_commission.rs"": ""a424c3be7b85a1616106dc8cfc38c8a3e65ae762657e6bb82a2b9660f5b74b05""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.186089+00:00""}",
cap.factory.bounded-intent,capability,,,,[],A Run needs the exact intended difference and operative context it answers to.,"ProjectDevelopmentLedger.set_intent retains native source, success criteria and ContextResolution references.",Development has an attributable basis and replacing the intent clears its previous return.,source-inspected; Native source and test definitions inspected 2026-09-06. Tests were not executed in this documentation pass; owner-world and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/174.json;../github-recovery-mirror/mirror/agent-system-design/issues/174.comments.json,factory/src/project_development.rs,factory/tests/project_context_intent.rs,factory.html#q2/implement,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Bounded intent has native ledger code but no declared CLI command.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/174.json"", ""reconcile:factory-pr-194"", ""https://github.com/EpiLogos/agent-system-design/pull/203""], ""code_basis"": {""factory/src/project_development.rs"": ""05a695ddfc500e01302f463fc4ec42d6f7f87a61f4c37a5c6e9a217ccde7bf57""}}, ""last_reconciled_at"": ""2026-09-08T20:51:59.447156+00:00""}",
cap.factory.git-development,capability,,,,[],A change needs an exact source base and isolated material correlation.,"GitDevelopmentRegistry pins a base, binds or rebinds material worktrees and records returned differences.",Run and Candidate lineage survive material changes while returned evidence identifies its base.,source-inspected; Native source and test definitions inspected 2026-09-06. Tests were not executed in this documentation pass; owner-world and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/170.json;../github-recovery-mirror/mirror/agent-system-design/issues/170.comments.json,factory/src/git_development.rs,factory/src/git_development.rs,factory.html#q2/implement,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Git-development registration has native code but no declared CLI command.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/170.json"", ""reconcile:factory-pr-194""], ""code_basis"": {""factory/src/git_development.rs"": ""2ebc9473dea88891bdccee7ce8ca140d18120573184c29a6331fc188a41da64c""}}, ""last_reconciled_at"": ""2026-09-08T11:52:07.186089+00:00""}",
cap.factory.intent-return,capability,,,,[],A reviewer needs to know whether the stated criteria were met.,"set_intent_return validates criterion/source/context identity and derives satisfied, unsatisfied or indeterminate.",Conclusive criteria require evidence and incomplete coverage stays indeterminate.,source-inspected; Native source and test definitions inspected 2026-09-06. Tests were not executed in this documentation pass; owner-world and desktop acceptance are not established.,agent-inference,../github-recovery-mirror/mirror/agent-system-design/issues/174.json;../github-recovery-mirror/mirror/agent-system-design/issues/174.comments.json,factory/src/project_development.rs,factory/tests/project_context_intent.rs,factory.html#q2/implement,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""99e4e8737c1c481bcd25a49a0a02f21cf3c34d78041d709e58fc566a5da0bf20"", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Intent return has native ledger code but no declared CLI command.""}, ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""../github-recovery-mirror/mirror/agent-system-design/issues/174.json"", ""reconcile:factory-pr-194"", ""https://github.com/EpiLogos/agent-system-design/pull/203""], ""code_basis"": {""factory/src/project_development.rs"": ""05a695ddfc500e01302f463fc4ec42d6f7f87a61f4c37a5c6e9a217ccde7bf57""}}, ""last_reconciled_at"": ""2026-09-08T20:51:59.447156+00:00""}",
